"sigma","C","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.00582805977053455,1.88894659314786e+22,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,3.77789318629572e+22,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,7.55578637259143e+22,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1.51115727451829e+23,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,3.02231454903657e+23,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,6.04462909807315e+23,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1.20892581961463e+24,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,2.41785163922926e+24,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,4.83570327845852e+24,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,9.67140655691703e+24,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1.93428131138341e+25,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,3.86856262276681e+25,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,7.73712524553363e+25,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1.54742504910673e+26,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,3.09485009821345e+26,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,6.1897001964269e+26,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1.23794003928538e+27,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,2.47588007857076e+27,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,4.95176015714152e+27,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,9.90352031428304e+27,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
